1404c1830 : 0x1403f4a4c  
1404c1838 : 0x1403f4a78  
1404c1840 : 0x1403f4a7c  
1404c1848 : 0x1403f4a80  
1404c1850 : 0x1403f4a84  
1404c1858 : 0x1403f4a48  
1404c1860 : 0x1403f4a88  
1404c1868 : 0x1403f4a44  
1404c1870 : 0x1403e6bdb  
1404c1878 : 0x1403f4a90  -> STRING "+attack"
1404c1880 : 0x1403f4a98  -> STRING "-attack"
1404c1888 : 0x1403f4aa0  
1404c1890 : 0x1403f4aa8  -> STRING "-melee"
1404c1898 : 0x1403f04fc  -> STRING "+frag"
1404c18a0 : 0x1403f4ab0  -> STRING "-frag"
1404c18a8 : 0x1403f4ab8  -> STRING "+smoke"
1404c18b0 : 0x1403f4ac0  -> STRING "-smoke"
1404c18b8 : 0x1403f4ac8  -> STRING "+breath_sprint"
1404c18c0 : 0x1403f4ad8  -> STRING "-breath_sprint"
1404c18c8 : 0x1403f4ae8  -> STRING "+usereload"
1404c18d0 : 0x1403f4af8  -> STRING "-usereload"
1404c18d8 : 0x1403f4b08  -> STRING "+speed_throw"
1404c18e0 : 0x1403f4b18  -> STRING "-speed_throw"
1404c18e8 : 0x1403f4b28  -> STRING "+actionslot 1"
1404c18f0 : 0x1403f4b38  -> STRING "-actionslot 1"
1404c18f8 : 0x1403f4b48  -> STRING "+actionslot 2"
1404c1900 : 0x1403f4b58  -> STRING "-actionslot 2"
1404c1908 : 0x1403f4b68  -> STRING "+actionslot 3"
1404c1910 : 0x1403f4b78  -> STRING "-actionslot 3"
1404c1918 : 0x1403f4b88  -> STRING "+actionslot 4"
1404c1920 : 0x1403f4b98  -> STRING "-actionslot 4"
1404c1928 : 0x1403f4ba8  -> STRING "+stance"
1404c1930 : 0x1403f4bb0  -> STRING "-stance"
1404c1938 : 0x1403f0400  -> STRING "+gostand"
1404c1940 : 0x1403f4bb8  -> STRING "-gostand"
1404c1948 : 0x1403f4bc8  -> STRING "+melee_zoom"
1404c1950 : 0x1403f4bd8  -> STRING "-melee_zoom"
1404c1958 : 0x1403f4be8  -> STRING "+forward"
1404c1960 : 0x1403f4bf8  -> STRING "-forward"
1404c1968 : 0x1403f4c04  -> STRING "+back"
1404c1970 : 0x1403f4c0c  -> STRING "-back"
1404c1978 : 0x1403f4c18  -> STRING "+moveleft"
1404c1980 : 0x1403f4c28  -> STRING "-moveleft"
1404c1988 : 0x1403f4c38  -> STRING "+moveright"
1404c1990 : 0x1403f4c48  -> STRING "-moveright"
1404c1998 : 0x1403f03e0  -> STRING "+movedown"
1404c19a0 : 0x1403f4c58  -> STRING "-movedown"
1404c19a8 : 0x1403f4c64  -> STRING "+left"
1404c19b0 : 0x1403f4c6c  -> STRING "-left"
1404c19b8 : 0x1403f4c74  -> STRING "+right"
1404c19c0 : 0x1403f4c7c  -> STRING "-right"
1404c19c8 : 0x1403f4c88  -> STRING "+lookup"
1404c19d0 : 0x1403f4c90  -> STRING "-lookup"
1404c19d8 : 0x1403f4c98  -> STRING "+lookdown"
1404c19e0 : 0x1403f4ca8  -> STRING "-lookdown"
1404c19e8 : 0x1403f4cb8  -> STRING "+strafe"
1404c19f0 : 0x1403f4cc0  -> STRING "-strafe"
1404c19f8 : 0x1403f0540  -> STRING "+holdbreath"
1404c1a00 : 0x1403f4cc8  -> STRING "-holdbreath"
1404c1a08 : 0x1403f0498  -> STRING "+activate"
1404c1a10 : 0x1403f4cd8  -> STRING "-activate"
1404c1a18 : 0x1403f4ce8  -> STRING "+reload"
1404c1a20 : 0x1403f4cf0  -> STRING "-reload"
1404c1a28 : 0x1403f03f8  -> STRING "+prone"
1404c1a30 : 0x1403f4cf8  -> STRING "-prone"
1404c1a38 : 0x1403f4d00  
1404c1a40 : 0x1403f4d08  -> STRING "-mlook"
1404c1a48 : 0x1403f4d10  -> STRING "+toggleads_throw"
1404c1a50 : 0x1403f4d28  -> STRING "-toggleads_throw"
1404c1a58 : 0x1403f4d40  -> STRING "+sprint"
1404c1a60 : 0x1403f4d48  -> STRING "-sprint"
1404c1a68 : 0x1403f4d50  -> STRING "+scores"
1404c1a70 : 0x1403f4d58  -> STRING "-scores"
1404c1a78 : 0x1403f4d60  -> STRING "togglemenu"
