1404d2e60 : 0x140431958  -> STRING "getsplashtext"
1404d2e68 : 0x140431968  -> STRING "getsplashdescription"
1404d2e70 : 0x140431980  -> STRING "getsplashmaterial"
1404d2e78 : 0x140431998  -> STRING "splashhasicon"
1404d2e80 : 0x1404319a8  -> STRING "splashrownum"
1404d2e88 : 0x1404319b8  -> STRING "getfocuseditemname"
1404d2e90 : 0x1404319d0  -> STRING "getfocuseditemx"
1404d2e98 : 0x1404319e0  -> STRING "getfocuseditemy"
1404d2ea0 : 0x1404319f0  -> STRING "getfocuseditemwidth"
1404d2ea8 : 0x140431a08  -> STRING "getfocuseditemheight"
1404d2eb0 : 0x140431a20  -> STRING "getitemx"
1404d2eb8 : 0x140431a30  -> STRING "getitemy"
1404d2ec0 : 0x140431a40  -> STRING "getitemwidth"
1404d2ec8 : 0x140431a50  -> STRING "getitemheight"
1404d2ed0 : 0x140428e98  -> STRING "playlist"
1404d2ed8 : 0x140431a60  -> STRING "scoreboardexternalmutenotice"
1404d2ee0 : 0x140431a80  -> STRING "getclientmatchdata"
1404d2ee8 : 0x140431a98  -> STRING "getclientmatchdatadef"
1404d2ef0 : 0x1403f5090  -> STRING "getmapname"
1404d2ef8 : 0x140431ab0  -> STRING "getmapimage"
1404d2f00 : 0x140431ac0  -> STRING "getmapcustom"
1404d2f08 : 0x140431ad0  -> STRING "getmigrationstatus"
1404d2f10 : 0x140431ae8  -> STRING "getplayercardinfo"
1404d2f18 : 0x140431b00  -> STRING "isofflineprofileselected"
